LocationName,Status,Resolution,Coordinates,LatitudeDecimal,LongitudeDecimal,Nation,ProvinceState,DistrictCounty,CityTown,Biome,ContinentOcean,ParkReserveName,Altitude,Rainfall,Temperature,Notes,Accuracy,Extent_km2,TimeAdded
Felixlandia,NULL,SL,"18° 47' 00" S; 044° 55' 00" W",-18.78,-44.92,Brazil,NULL,NULL,NULL,NULL,SouthAmerica,1,0,0,NULL,"State of Minas Gerais; Geonames:  Felixlandia PPL",2,2,"2011-07-18 19:08:29"
Fianarantsoa,NULL,SL,NULL,-23.033,47.733,Madagascar,,,,NULL,NULL,,NULL,NULL,NULL,,1,2,"2020-01-14 21:16:34"
Fiema,NULL,SL,"07° 43' 00" N; 001° 42' 00" W",7.71,-1.7,Ghana,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"no information on habitat; human samples from a different locality; Geonames: Fiema PLL",2,2,"2011-07-18 19:08:49"
Florencia,NULL,SL,NULL,1.716,-75.596,Colombia,NULL,NULL,NULL,NULL,SouthAmerica,0,0,0,NULL,"Geonames: Florencia, Colombia 
Cross-referenced with 1940s map of Colombia https://i.pinimg.com/originals/ab/a6/16/aba616c33d4dcd3922298a49fb1801f3.jpg",2,2,"2019-12-05 19:04:59"
Fongoli,NULL,SL,NULL,12.683,-12.2,Senegal,Kédougou,NULL,"Fongoli village",NULL,Africa,NULL,NULL,NULL,NULL,"Hot and dry;Acmemapper2.0;kedougou,senegal;Geonames;fongoli,kedougou,senegal",2,2,"2012-06-14 21:53:56"
"Fonte Boa",NULL,SL,NULL,-2.5,-66.1,Brazil,NULL,NULL,NULL,NULL,SouthAmerica,0,0,0,NULL,"; Geonames: Not possible to identify, as multiple entries with very different values;Acmemapper 2.0;fonte boa,brazil",2,2,"2019-12-05 20:15:23"
"Forest fragments (Chapman)",NULL,SL,NULL,0.5,30.4,Uganda,NULL,"Kibale National Park",NULL,NULL,Africa,NULL,NULL,NULL,NULL,"8 forest fragmengs around Kibale National Park.Acmemapper2.0;used kibale national park",3,2,"2012-09-18 18:34:42"
Formosa,NULL,SL,"23° 30' 00" N; 121° 00' 00" E",23.5,121,Taiwan,NULL,NULL,NULL,NULL,Eurasia,1,0,0,NULL,"; Geonames Formosa ISL",2,2,"2011-07-18 19:14:22"
"Fort Dauphin",NULL,SL,"25° 02' 00" S; 047° 00' 00" E",-25.03,47,Madagascar,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: Fort-Dauphin PPL",2,2,"2011-07-18 19:14:36"
Fort-Lamy,NULL,SL,"12° 06' 47" N; 015° 02' 57" E",12.11,15.03,Chad,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Acmemapper2.0;Fort lamy,chad",2,2,"2011-07-18 19:15:36"
Franca,NULL,P,NULL,-20.569,-47.339,Brazil,"Sao Paulo",NULL,NULL,NULL,SouthAmerica,NULL,NULL,NULL,NULL,NULL,1,2,"2020-12-09 17:59:47"
"Free State",NULL,P,"29° 00' 00" S;  026° 00' 00" E",-29,26,"South Africa",NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"province; Geonames: Free State ADM1",2,3,"2011-07-18 19:16:47"
"FRENCH GUIANA",NULL,N,"4° 20' N; 53° W",4,-53.1,"French Guiana",NULL,NULL,NULL,NULL,SouthAmerica,0,0,0,NULL,"Acmemapper2.0;French Guiana",2,3,"2011-07-18 19:17:09"
Fukushima,NULL,SL,NULL,37.3816,140.222,Japan,,,Fukushima,NULL,NULL,,NULL,NULL,NULL,"Listed in text as Fukushima city. Geonames: Fukushima-ken",1,2,"2020-01-14 21:15:53"
GABON,NULL,N,"01° 00' 00" S; 011° 45' 00" E",-1,11.75,Gabon,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: Gabon",2,4,"2011-07-18 19:18:16"
"Gabon/Congo region",NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"Region cutting across two different countries",4,4,"2019-12-05 20:19:14"
GAMBIA,NULL,N,"13° 30' 00" N; 015° 30' 00" W",13.5,-15.5,Gambia,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames:  Gambia PCL1",2,3,"2011-07-18 19:19:34"
"Gambia River",NULL,O,"14° 00' 00" N; 014° 00' 00" W",14,-14,Senegal,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames:  Senegal, could not acquire info on Gambia river",2,4,"2020-01-14 20:41:42"
Gariep,NULL,P,,-30.617,25.4809,"South Africa","Free State",Gariep,Gariepdam,NULL,NULL,,NULL,NULL,NULL,"(Gaetano et al. 2014) Orange River Valley / Southford Stud Farm / Fishery, Gariep (FS) ",2,2,"2020-08-24 01:48:29"
Garupa,NULL,SL,NULL,-27.5,-55.8,Argentina,NULL,NULL,NULL,NULL,SouthAmerica,NULL,NULL,NULL,NULL,";Acmemapper2.0;Garupa,Argentina",2,2,"2011-07-18 19:20:36"
"Gashaka Gumti",NULL,SL,NULL,7.5,11.7,Nigeria,"Taraba and Adamwa",NULL,Kwano,NULL,Africa,"Gashaka Gumti",583,NULL,NULL,";Acmemapper2.0;Gashaka Gumpti,Nigeria",2,2,"2019-12-05 20:19:27"
"GB field site",NULL,SL,NULL,3.9,14.7,Cameroon,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2012-09-18 18:34:53"
Gbendembu-Mafuri,NULL,SL,"9° 4' 40" N; 12° 19' 20" W",9.07,-12.31,"Sierra Leone",NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"; from primary ref",1,1,"2011-07-18 19:21:22"
Gede,NULL,SL,NULL,-3.45,39.3,Kenya,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Geonames: Gede, Kenya",2,1,"2019-12-05 20:22:14"
GHANA,NULL,N,"08° 00' 00" N; 002° 00' 00" W",8,-2,Ghana,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames:  Ghana PCLI",2,4,"2011-07-18 19:21:40"
"Giant's Castle",NULL,SL,"29° 14' 00" S; 029° 29' 00" E",-29.23,29.48,"South Africa",NULL,NULL,NULL,NULL,Africa,2,0,0,NULL,"game reserve; Geonames: Giants Castle Game Reserve; info in primary source but provided as a range",2,2,"2011-07-18 19:21:54"
Gibraltar,NULL,SL,"35° 57' 00" N; 005° 36' 00" W",35.95,-5.6,Gibraltar,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"; Geonames: Strait of Gibraltar STRT",2,2,"2011-07-18 19:22:07"
Gilgil,NULL,SL,"00° 30' 00" S; 036° 19' 00" E",-0.5,36.31,Kenya,NULL,NULL,NULL,NULL,Africa,2,0,0,NULL,"; Geonames:  GilGil (PPL)",2,2,"2011-07-18 19:22:22"
Gimbi,NULL,SL,"09° 10' 00" N; 035° 50' 00" E",9.16,35.83,Ethiopia,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"Wollega/Welega Province; Geonames: Gimbi aka Ghimbi Gembi PPL (Gimbie turned up nothing, but a Gimbi in Welega aka Wollega province, found on web) PPL",2,2,"2011-07-18 19:22:40"
"Gold Coast",NULL,P,"05° 20' 00" N; 000° 45' 00" W",5.333,-0.75,Ghana,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"Africa; Geonames: Gold Coast CST",2,4,"2011-07-18 19:22:59"
Goma,NULL,SL,"1° 40' 46.8516'' S, 29° 14' 31.8192'' E",-1.6585,29.2205,"Democratic Republic of Congo","North Kivu",,,NULL,NULL,,NULL,NULL,NULL,,2,2,"2019-12-05 20:24:47"
Gombe,NULL,SL,"04° 42' 00" S; 029° 37' 00" E",-4.7,29.61,Tanzania,NULL,NULL,NULL,NULL,Africa,2,0,0,NULL,"; Geonames: Gombe PK",2,2,"2011-07-18 19:23:43"
"Goualougo Triangle",NULL,SL,NULL,2.5,16.53,"Republic of the Congo",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"From Gillespie et al. 2010, states it is between "In June 2003, the Congolese government announced that it would annex the majority of the Goualougo Triangle to the Nouabalé-Ndoki National Park (4400 km2, 2.05??3.03?N, 16.51??16.56?E)"",2,3,"2020-01-15 20:20:18"
Grumeti,NULL,SL,"02° 10' 00" S; 034° 20' 00" E",-2.16,34.33,Tanzania,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"river in some refs; Geonames: Grumeti (RES)",2,2,"2011-07-18 19:24:16"
"GT field site",NULL,SL,NULL,1.9,16.1,"Republic of the Congo",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2012-09-18 18:37:41"
"Gua Masang",NULL,SL,"04° 53' 00" N; 101° 58' 00" E",4.88,101.96,Malaysia,NULL,NULL,NULL,NULL,Eurasia,1,0,0,NULL,"; Geonames: Gua Masang PPL",2,2,"2011-07-18 19:24:50"
Guaiba,NULL,SL,NULL,-30.1,-51.3,Unknown,NULL,NULL,NULL,NULL,SouthAmerica,NULL,NULL,NULL,NULL,"Acmemapper2.0 ;Guaiba",2,2,"2011-07-18 19:25:10"
"Guancaste Conservation Area",NULL,O,NULL,10.837,-85.7,"Costa Rica",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Geonames: Santa Rosa National Park
",2,3,"2019-12-05 20:31:42"
"Guangxi Zhuang Autonomous Region",NULL,P,NULL,24,109,China,,,,NULL,NULL,,NULL,NULL,NULL,"Geonames: Guangxi Zhuangzu Zizhiqu",1,2,"2020-01-14 21:14:49"
Guassa,NULL,O,NULL,10.35,39.783,Ethiopia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Lit: western edge of the Great Rift Valley (10°15??10°27?N; 39°45??39°49?E)",1,3,"2019-12-05 20:38:01"
GUATEMALA,NULL,N,NULL,14.6,-90.5,Guatemala,NULL,NULL,NULL,NULL,SouthAmerica,NULL,NULL,NULL,NULL,"Acmemapper 2.0;Guatemala",2,4,"2012-06-14 21:53:28"
GUINEA,NULL,N,"11° 00' 00" N; 010° 00' 00" W",11,-10,Guinea,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"formerly French Guinea; Geonames:  Guinea PCLI",2,4,"2011-07-18 19:26:21"
"GUINEA BISSAU",NULL,N,"12° 00' 00" N; 015° 00' 00" W",12,-15,"Guinea Bissau",NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"formerly Portueguese Guinea; Geonames: Portuguese Guinea",2,3,"2012-06-14 22:04:11"
Guira-Oga,NULL,SL,NULL,-25.6166,-54.533,Argentina,NULL,NULL,NULL,NULL,SouthAmerica,NULL,NULL,NULL,NULL,"In text: ?Gu?ira?-Oga?? (Puerto Iguazu?, Misiones, 251370 S,541320 W)",1,1,"2019-12-05 20:42:39"
"Gulf of Nicoya Islands",NULL,O,NULL,9.595,-85.08,"Costa Rica",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Geonames: Isla Cabuya as one of the islands",3,3,"2019-12-05 20:49:01"
"Gunung Leuser National Park",NULL,SL,NULL,-3,106.8,Indonesia,NULL,NULL,NULL,NULL,Eurasia,NULL,NULL,NULL,NULL,"Acmemapper2.0;Gunung leuser national park,indonesia",2,2,"2012-06-14 21:53:09"
GUYANA,NULL,N,"05° 00' 00" N; 059° 00' 00" W",5,-59,Guyana,NULL,NULL,NULL,NULL,SouthAmerica,0,0,0,NULL,"this British Guyana; Geonames:  Guyana PCLI",2,4,"2011-07-18 19:28:51"
Hagachizaki,NULL,SL,NULL,35.1,138.3,Japan,Shizuoka,NULL,NULL,NULL,Eurasia,NULL,NULL,NULL,NULL,"Acmemapper2.0;Hagachizaki,shizouka,japan",2,2,"2012-06-14 21:52:49"
Hanoi,NULL,SL,"21° 02' 00" N; 105° 51' 00" E",21.03,105.85,Vietnam,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"; Geonames: Hanoi PPLC",2,3,"2012-06-14 21:52:44"
Haryana,NULL,SL,"29.0588° N, 76.0856° E",29.0658,76.0405,"India ",,,,NULL,Eurasia,,NULL,NULL,NULL,,1,1,"2019-12-05 20:49:37"
"Himachal Pradesh",NULL,SL,"31.1048° N, 77.1734° E",31.6908,76.5177,India,,,,NULL,Eurasia,,NULL,NULL,NULL,,1,1,"2019-12-05 20:50:07"
"Hluhluwe Game Reserve",NULL,O,NULL,-28.0394,-32.0589,"South Africa",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Geonames: Hluhluwe-Imfolozi Park (just another name for it)",1,3,"2019-12-05 20:52:35"
Honshu,NULL,SL,"36° 00' 00" N; 138° 00' 00" E",36,138,Japan,NULL,NULL,NULL,NULL,Eurasia,1,0,0,NULL,"appears to be sampling locality, and coordinates similar to those for Nagano Prefecture; Geonames: Honshu ISL",2,2,"2011-07-20 19:12:21"
Hualien,NULL,P,"23° 45' 00" N; 121° 25' 00" E",23.75,121.42,Taiwan,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"map in reference; Geonames: Haulien",2,2,"2011-07-20 19:12:37"
Iberia,NULL,SL,"11° 21' 00" S; 069° 35' 00" W",-11.35,-69.58,Peru,NULL,NULL,NULL,NULL,SouthAmerica,1,0,0,NULL,"; Geonames:  Iberia, used closest match to province in ref, Madre di Dios",2,2,"2011-07-20 19:13:46"
Ichikawa,NULL,SL,NULL,34.88,137.48,Japan,NULL,Aichi,Shinshiro,NULL,Eurasia,NULL,NULL,NULL,NULL,Geonames;Ichikawa.ppl,2,2,"2012-06-14 21:52:41"
"Iguazú National Park",NULL,O,NULL,-25.6666,-54.5,Argentina,,,,NULL,NULL,,NULL,NULL,NULL,,1,2,"2020-01-14 21:15:12"
Ikela,NULL,SL,NULL,-1.04964,23.3668,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Figure 1 Lui et al. 2017 and Geonames: Ikela, DRC",2,1,"2019-12-05 20:57:49"
Ilheus,NULL,SL,"13° 01' 00" S; 040° 01' 00" W",-13.01,-40.01,Brazil,NULL,NULL,NULL,NULL,SouthAmerica,0,0,0,NULL,"State of Bahia; Geonames: Ilhueus PPL, used the locality in Bahia State",2,2,"2011-07-20 19:15:18"
Imurok,NULL,O,NULL,4.30384,32.3996,Sudan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"In 1959 text: Imurok, Torit, Equatoria in Sudan
Geonames: Imurok",2,2,"2019-12-05 21:05:41"
INDIA,NULL,N,"20° 00' 00" N; 077° 00' 00" E",20,77,India,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"; Geonames:  India PCLI",2,4,"2011-07-20 19:15:45"
INDONESIA,NULL,N,"05° 00' 00" S; 120° 00' 00" E",-5,120,Indonesia,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"; Geonames:  Indonesia PCLI",2,4,"2011-07-20 19:15:59"
Inkberry,NULL,SL,NULL,-32.858,27.9342,"South Africa",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Geonames: Inkberry",2,1,"2019-12-05 21:08:52"
Iquitos,NULL,SL,"03° 44' 53" S; 073° 14' 50" W",-3.74,-73.23,Peru,NULL,NULL,NULL,NULL,SouthAmerica,1,0,0,NULL,"; Geonames:  Iquitos PPLA",2,2,"2011-07-20 19:16:12"
"IS field site",NULL,SL,NULL,3.2,29.2,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2019-12-03 19:01:18"
"Isla Brasilera",NULL,SL,NULL,-27.33,-58.67,Argentina,NULL,NULL,NULL,NULL,SouthAmerica,NULL,NULL,1200,21.6,"Rainfall in mm.",1,1,"2012-09-18 18:39:24"
"Issa Valley",NULL,SL,NULL,-5.4,30.6,Tanzania,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"Issa Valley, in Ugalla Region
Coordinates from map of Issa Valley: https://www.researchgate.net/figure/Map-of-western-Tanzania-with-the-study-site-Issa-in-the-center-box-and-the-other_fig3_268882837",2,3,"2019-12-05 21:15:16"
Itan,NULL,P,"24° 30' N; 122° E",24.5,122,Taiwan,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"map in reference; couldnâ€™t find in Geonames, used map in Cross et al. 1983 and Rand McNally to estimate reasonable locality information",3,2,"2011-07-20 19:16:46"
Ituri,NULL,SL,"01° 51' 00" N; 029° 58' 00" E",1.85,29.96,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"Zaire; Geonames: Ituri PPL",2,2,"2019-12-03 18:59:23"
Ituzaingo,NULL,SL,NULL,-27.467,-56.733,Argentina,Corrientes,NULL,ItuzaingÃ³,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,"2019-12-05 21:15:45"
Itwara,NULL,SL,"00° 48' 45" N; 030° 33' 30" E",0.81,30.55,Uganda,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,""forest," Toro District; Geonames: Itwara Forest FRST",2,2,"2011-07-20 19:17:19"
"IVORY COAST",NULL,N,"08° 00' 00" N; 005° 00' 00" W",8,-5,"Côte d'Ivoire",NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"Cote d'Ivoire; Geonames:  Ivory Coast PCLI",2,4,"2020-01-15 20:21:21"
Jakarta,NULL,SL,"06° 10' 28" S; 106° 49' 46" E",-6.17,106.81,Indonesia,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"; Geonames: Jakarta",2,2,"2011-07-20 19:19:44"
JAPAN,NULL,N,"36° 00' 00" N; 138° 00' 00" E",36,138,Japan,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,";Geonames:Japan PCL1",2,4,"2011-07-20 19:20:39"
"Japan Monkey Center",NULL,SL,"35°00'32.18" N 135°40'28.85" E",35.0089,135.675,Japan,,,,NULL,Eurasia,"Japan Monkey Center",NULL,NULL,NULL,,1,1,"2019-12-05 21:28:29"
"Japura River",NULL,O,NULL,-1.80997,-66.797,Brazil,Amazonas,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Cross-referencing C. calvus IUCN range with "Japura river" on Google maps ",2,2,"2019-12-05 21:28:48"
Jardim,NULL,SL,"21º28’49” S and 56º08’17” W",21.4803,56.1381,Brazil,"Mato Grosso do Sul",,,NULL,NULL,,NULL,NULL,NULL,,1,3,"2020-09-15 01:07:59"
Java,NULL,P,"07° 30' 00" S; 110° 00' 00" E",-7.5,110,Indonesia,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"; Geonames:  Java ISL",2,3,"2019-12-05 21:16:28"
Jigokudani,NULL,SL,NULL,36.7,138.4,Japan,NULL,NULL,NULL,NULL,Eurasia,NULL,NULL,NULL,NULL,"Acmemapper2.0;jigokudani,japan",2,2,"2012-09-19 13:11:07"
Johannesburg,NULL,SL,"26° 12' 00 S; 28° 05' 00 E",-26.2,28.08,"South Africa",NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: Johannesburg PPLA",2,2,"2011-07-20 19:23:25"
Joinville,NULL,SL,NULL,-26.2,-48.5,Unknown,NULL,NULL,NULL,NULL,SouthAmerica,NULL,NULL,NULL,NULL,"Geonames;Joinville;multiple hits,chose the first one which was the only exact match, others had different prefixes and suffixes",2,2,"2011-07-20 19:27:14"
Jozani-Chwaka,NULL,SL,NULL,-6.233,39.404,Tanzania,,,,NULL,NULL,"Jozani-Chwaka Bay National Park",NULL,NULL,NULL,"Geonames: Jozani-Chwaka Bay NP",1,2,"2020-01-14 21:16:32"
Jubiya,NULL,SL,"00° 15' 00" S; 031° 58' 00" E",-0.25,31.96,Uganda,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL," "forest," western shore Lake Victoria; Geonames: Jubiya Forest FRST, determined country based on only solid match from Geonames and spp sampled",2,2,"2011-07-20 19:27:20"
"KA field site",NULL,SL,NULL,2.3,26.6,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2019-12-03 19:01:34"
Kabo,NULL,SL,NULL,2.5,16.54,"Republic of the Congo",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"Acmemapper2.0;Kabo,republique democratique du congo",2,2,"2020-01-15 20:20:08"
"Kafue National Park",NULL,SL,"S 14° 30' 0''	E 26° 10' 0''",-14.5,26.167,Zambia,,,,NULL,Africa,"Kafue National Park",NULL,NULL,NULL,,1,3,"2019-12-06 18:48:22"
Kahuzi-Biega,NULL,SL,"02° 00' 00" S; 028° 45' 00" E",-2,28.75,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,2,0,0,NULL,"; Geonames: Kahuzi PRK",2,2,"2019-12-03 18:58:57"
Kaimosi,NULL,SL,"00° 12' 00" N; 034° 57' 00" E",0.2,34.95,Kenya,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,""forest"; Geonames:  Kaimosi AREA, all results near to one another",2,2,"2011-07-20 19:28:09"
Kalimantan,NULL,P,"00° 00' 00" S; 110° 30' 00" E",0,110.5,Indonesia,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"; Geonames: Kalimantan ADMD",2,3,"2011-07-20 19:29:19"
Kalinzu,NULL,SL,"00° 25' 00" S; 030° 05' 00" E",-0.41,30.08,Uganda,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"Ankole District; Geonames: Kalinzu FRST",2,2,"2011-07-20 19:29:25"
Kampala,NULL,SL,"00° 19' 00" N; 032° 35' 00" E",0.31,32.58,Uganda,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"; Geonames: Kampala PPLA",2,2,"2011-07-20 19:29:38"
"Kampong Titi Tinggu",NULL,SL,"06° 38' 00" N; 100° 15' 00" E",6.63,100.25,Malaysia,NULL,NULL,NULL,NULL,Eurasia,1,0,0,NULL,"; Geonames:  Kampong Titi Tinggi Hilin PPL, closest match, most Kampongs on Peninsular Malaysia",2,2,"2011-07-20 19:29:56"
Kamuri,NULL,SL,NULL,36.6,136.6,Japan,Ishikawa,NULL,NULL,NULL,Eurasia,NULL,NULL,NULL,NULL,"Acmemapper2.0;kamuri,ishikawa,japan",2,2,"2012-09-19 13:11:13"
Kaniyo-Pabidi,NULL,SL,"1° 55' 099" N; 31° 43' 153" E",1.94417,31.7591,Uganda,,,,NULL,NULL,"Budongo Forest Reserve",NULL,NULL,NULL,,1,1,"2019-12-06 18:52:38"
Kansanshi,NULL,SL,NULL,-12.0951,26.4273,Zambia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1959 "Kansanshi, Northern Rhodesia" ----> modern-day Kansanshi, Zambia
Geonames: Kansanshi, Zambia",2,2,"2019-12-06 18:57:18"
Kanyawara,NULL,SL,NULL,0.45,30.4333,Uganda,NULL,"Kibale National Park",NULL,NULL,Africa,NULL,1500,1712,NULL,NULL,1,2,"2019-12-06 18:57:25"
Kanye,NULL,SL,NULL,-24.9667,25.3327,Botswana,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1959 "Kanye, Bechuanaland" ---> modern-day Kanye, Botswana",2,2,"2019-12-06 19:00:23"
Kaolack,NULL,SL,"14° 09' 00" N; 016° 04' 00" W",14.15,-16.06,Senegal,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: Kaolack PPLA",2,2,"2011-07-20 19:30:35"
Kaosiung,NULL,P,"23° 00' 00" N; 120° 35' 00" E",23,120.58,Taiwan,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"map in reference; Geonames: Kao-hsiung Hsien",2,2,"2011-07-20 19:30:51"
"Kapit Division ",NULL,P,NULL,2.16667,113.75,Malaysia,Sarawak,NULL,NULL,NULL,Eurasia,NULL,NULL,NULL,NULL,"Geonames: Bahagian Kapit",2,3,"2019-12-06 19:04:23"
Karamjal,NULL,SL,NULL,22.428,89.5887,Bangladesh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Google maps: Koromjal",1,2,"2019-12-06 19:12:43"
Karamoja,NULL,P,"02° 45' 00" N; 034° 15' 00" E",2.75,34.25,Uganda,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,""district"; Geonames: Karamojo District ADM1",2,2,"2011-07-20 19:31:14"
Karkloof,NULL,SL,"30° 24' S; 30° 17' E",-30.4,30.28,"South Africa",NULL,NULL,NULL,NULL,Africa,1,1000,0,NULL,"; taken from source, Appleton et al. 1994 provide slightly different latitude",1,1,"2011-07-20 19:31:20"
Kartabo,NULL,SL,NULL,6.3,-59.2,Guyana,NULL,NULL,NULL,NULL,SouthAmerica,0,0,0,NULL,"; Geonames: no records for Kartabo, searching web turned up little useful info, but should be repeated;Acmemapper;Kartabo,Guyana",2,2,"2020-01-14 21:13:21"
Kasokwa,NULL,SL,"1° 39' 474" N; 31° 38' 880" E",1.78166,31.8778,Uganda,,,,NULL,NULL,"Budongo Forest Reserve",NULL,NULL,NULL,,1,2,"2019-12-06 19:13:59"
Katanga,NULL,SL,NULL,-3.28,26.54,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: many entries for Katanga, unable to localize;googlemaps;Katanga,many options but used the only one in the republic of congo",2,2,"2019-12-06 19:14:10"
Katavi,NULL,SL,NULL,-6.80184,31.0345,Tanzania,,,,NULL,NULL,"Katavi National Park",NULL,NULL,NULL,"Geonames: Katavi Plain Game Reserve",1,2,"2020-01-14 21:16:26"
Kawa,NULL,SL,"01° 40' 00" N; 031° 00' 00" E",1.56667,30.5333,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"former Zaire; Geonames:  Albert, Lake LK",2,2,"2020-01-15 20:26:24"
"KE field site",NULL,SL,NULL,1.9,28.1,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2019-12-03 19:01:38"
Kebun-Kopi,NULL,SL,NULL,-0.68,119,Indonesia,Sulawesi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Figure 1 of Gotoh et al. 2001 and Google Maps: Kebun-Kobi helped approximate the location",2,2,"2019-12-06 19:25:41"
Kedah,NULL,P,"06° 00' 00" N; 100° 40' 00" E",6,100.67,Malaysia,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"Kedah-Perlis area; Geonames: Kedah ADM1; Kedah and Perlis give almost identical values, used Kedah and listed as P",2,3,"2011-07-20 19:33:20"
Kedougou,NULL,SL,"12° 33' N; 12° 10'  W",12.55,-12.16,Senegal,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"; ACMEmapper2.0;Kedougou,senegalAcmemapper2.0;kedougou",2,2,"2011-07-25 19:15:43"
Kelantan,NULL,P,"05° 20' 00" N; 102° 00' 00" E",5.33,102,Malaysia,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"; Geonames: Kelantan ADM1",2,3,"2011-07-20 19:34:02"
Kenisa,NULL,SL,"N 6° 49' 33'' E 31° 7' 57''",6.83,31.13,"South Sudan",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GeoNameID: 382113",2,2,"2019-12-10 19:41:29"
KENYA,NULL,N,"01° 00' 00" N; 038° 00' 00" E",1,38,Kenya,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames:  Kenya PCLI",2,4,"2011-07-20 19:34:14"
Ketambe,NULL,SL,"03 ° 41' N; 97° 39' E",3.68,97.65,Indonesia,NULL,NULL,NULL,NULL,Eurasia,2,0,0,NULL,"; no record in Geonames, used this reference:Journal of Tropical Ecology (2001) 17:379?393. ",1,1,"2011-07-20 19:34:32"
